coverage,p00_17,p18_64,p65_84,p85_
0%,0.000012100 ,0.003622781 ,0.006329201 ,0.005821917 
20%,0.000015200 ,0.004528477 ,0.007911501 ,0.007277396 
40%,0.000020200 ,0.006037969 ,0.010548670 ,0.009703195 
60%,0.000030300 ,0.009056953 ,0.015823000 ,0.014554790 
80%,0.000060700 ,0.018113910 ,0.031646000 ,0.029109590 
1,0.000011400 ,0.004960411 ,0.020532214 ,0.020192769 
2,0.020167390 ,0.000553725 ,0.002017838 ,0.159109000 
3,0.041164970 ,0.001108064 ,0.004043835 ,0.378429500 
4,0.063045080 ,0.001663017 ,0.006078042 ,0.700116700 
5,0.085864550 ,0.002218586 ,0.008120508 ,1.217656000 
6,0.109685200 ,0.002774772 ,0.010171280 ,2.188184000 
