phase,age_group,var_name,count,mean,std,min,25%,50%,75%,max
phase1,00_17,alpha,263,0.006660305,0.018029939,0,0.000128438,0.000273038,0.002022526,0.112359551
phase1,00_17,lambda,264,9.19E-05,0.000111814,1.05E-05,3.06E-05,4.22E-05,0.000124463,0.000498761
phase1,00_17,mu,264,0.00034567,0.001571313,0,0,0,0,0.018181818
phase1,00_17,p,0,,,,,,,
phase1,18_64,alpha,263,0.008829569,0.023764783,6.73E-05,0.000401419,0.000696462,0.001890405,0.126645421
phase1,18_64,lambda,264,1.12E-04,0.000112762,1.06E-05,3.09E-05,4.26E-05,0.000125519,0.000502995
phase1,18_64,mu,264,0.002386532,0.007767216,0,6.62E-05,0.000317001,0.000718938,0.090909091
phase1,18_64,p,0,,,,,,,
phase1,65_84,alpha,263,0.062956396,0.105757533,0.001205027,0.00781028,0.013496905,0.051906956,0.423508137
phase1,65_84,lambda,264,6.79E-05,0.000113721,1.07E-05,3.12E-05,4.30E-05,0.000126585,0.000507264
phase1,65_84,mu,264,0.013831369,0.064112407,0,0.000392979,0.002145833,0.004579462,0.972222222
phase1,65_84,p,0,,,,,,,
phase1,85_,alpha,263,0.043593342,0.086058679,0.000105352,0.00268782,0.010465116,0.019027411,0.375968992
phase1,85_,lambda,264,1.84E-04,0.000114686,1.08E-05,3.14E-05,4.33E-05,0.000127659,0.00051157
phase1,85_,mu,264,0.020404744,0.080544426,-0.588235294,0.000881074,0.005096497,0.01273632,0.973684211
phase1,85_,p,0,,,,,,,
phase2,00_17,alpha,160,4.98E-05,4.33E-05,1.80E-06,1.30E-05,3.29E-05,8.86E-05,0.00015278
phase2,00_17,lambda,160,2.24E-04,0.000307954,5.80E-05,6.37E-05,0.000116422,0.000534101,0.001202182
phase2,00_17,mu,160,4.04E-05,0.000116151,0,0,0,0,0.000659413
phase2,00_17,p,160,1.14E-05,1.49E-05,0,1.06E-06,4.95E-06,1.70E-05,7.55E-05
phase2,18_64,alpha,160,0.000283646,0.000284363,1.40E-05,3.46E-05,0.000149781,0.00051759,0.000915411
phase2,18_64,lambda,160,3.07E-04,0.000278584,5.25E-05,5.76E-05,0.000105318,0.000483159,0.001087518
phase2,18_64,mu,160,0.00044384,0.000456352,0,3.29E-05,0.000263364,0.00077042,0.001656874
phase2,18_64,p,160,0.004960411,0.004669979,5.80E-06,0.002040838,0.003461995,0.006629486,0.029163702
phase2,65_84,alpha,160,0.003912005,0.004165112,6.59E-05,0.00032051,0.00154402,0.008373229,0.0126089
phase2,65_84,lambda,160,1.37E-04,0.000252011,4.75E-05,5.21E-05,9.53E-05,0.000437075,0.00098379
phase2,65_84,mu,160,0.002218617,0.002322247,0,0.000110381,0.001021782,0.00411448,0.007392702
phase2,65_84,p,160,0.020532214,0.025182897,4.08E-06,0.002854315,0.007038418,0.032828167,0.115900723
phase2,85_,alpha,160,0.006969823,0.007430005,8.11E-05,0.000544257,0.002861769,0.014737522,0.022083913
phase2,85_,lambda,160,3.06E-04,0.000227973,4.30E-05,4.72E-05,8.62E-05,0.000395387,0.000889956
phase2,85_,mu,160,0.005651035,0.005944184,3.00E-05,0.000242812,0.002644948,0.010530049,0.018285081
phase2,85_,p,160,0.020192769,0.030527212,2.25E-05,0.001800568,0.006213236,0.025850064,0.163833466
phase3,00_17,alpha,194,2.87E-05,1.37E-05,3.53E-06,1.90E-05,2.60E-05,3.70E-05,7.17E-05
phase3,00_17,lambda,194,0.0008656,0.000343595,0.000334028,0.000581525,0.000973607,0.001140591,0.001700434
phase3,00_17,mu,194,2.85E-05,6.28E-05,0,0,0,0,0.000345483
phase3,00_17,p,194,0.000915423,0.001161456,6.34E-06,2.52E-05,0.000303633,0.001650042,0.003894873
phase3,18_64,alpha,194,7.81E-05,3.42E-05,1.67E-05,6.02E-05,7.36E-05,0.000102699,0.000166583
phase3,18_64,lambda,194,0.0004076,0.000153545,0.000149269,0.000259869,0.000435082,0.000509703,0.000759884
phase3,18_64,mu,194,8.72E-05,4.90E-05,0,4.82E-05,9.25E-05,0.000123305,0.000202263
phase3,18_64,p,194,0.00516344,0.004959702,0.000713166,0.001650117,0.003159032,0.006973723,0.023810497
phase3,65_84,alpha,194,0.000673157,0.00033021,6.03E-05,0.000430891,0.000749741,0.00093014,0.00122675
phase3,65_84,lambda,194,1.47E-04,6.86E-05,6.67E-05,0.000116129,0.000194428,0.000227774,0.000339574
phase3,65_84,mu,194,0.000318136,0.000193023,9.81E-06,0.000100153,0.000368181,0.000462614,0.000724036
phase3,65_84,p,194,0.001371552,0.001018011,0.000186221,0.000754801,0.001151193,0.001595994,0.009360461
phase3,85_,alpha,194,0.001169327,0.000626395,8.09E-05,0.000639383,0.001321037,0.001631733,0.00231988
phase3,85_,lambda,194,1.06E-04,3.07E-05,2.98E-05,5.19E-05,8.69E-05,0.000101787,0.000151748
phase3,85_,mu,194,0.000589971,0.000361437,0,0.000236232,0.000658855,0.000888374,0.001268585
phase3,85_,p,194,0.00059505,0.000367722,5.05E-05,0.000339124,0.000547804,0.000780836,0.002038978
phase4,00_17,alpha,265,1.94E-05,1.08E-05,3.60E-06,1.13E-05,1.73E-05,2.48E-05,5.63E-05
phase4,00_17,lambda,265,0.0008546,0.000870559,0.000186039,0.000311132,0.0004423,0.001455535,0.003691758
phase4,00_17,mu,265,1.63E-05,3.47E-05,0,0,0,0,0.000257202
phase4,00_17,p,265,0.000649891,0.00051525,8.15E-06,0.000255576,0.000522533,0.000876435,0.003257771
phase4,18_64,alpha,265,4.64E-05,2.78E-05,9.75E-06,2.48E-05,4.14E-05,6.01E-05,0.000160383
phase4,18_64,lambda,265,0.0007788,0.000656626,0.000140321,0.000234674,0.000333608,0.001097849,0.002784538
phase4,18_64,mu,265,7.20E-05,4.36E-05,7.95E-06,3.83E-05,6.05E-05,0.000101467,0.000189577
phase4,18_64,p,265,0.000673221,0.000824951,3.08E-05,0.000125377,0.000305266,0.000902707,0.003868993
phase4,65_84,alpha,265,0.000586756,0.000284523,0.000146398,0.000355265,0.00054848,0.00074697,0.001574442
phase4,65_84,lambda,265,4.13E-04,0.000495265,0.000105839,0.000177005,0.000251627,0.000828061,0.00210026
phase4,65_84,mu,265,0.000372551,0.000182927,4.94E-05,0.000251054,0.000355094,0.000484687,0.000835433
phase4,65_84,p,265,0.000526569,0.00072827,1.57E-05,0.000165599,0.000253161,0.000406717,0.003724033
phase4,85_,alpha,265,0.002205694,0.001109051,0.000509576,0.001278647,0.002048537,0.002933783,0.005230887
phase4,85_,lambda,265,4.79E-04,0.000373557,7.98E-05,0.000133507,0.000189791,0.000624572,0.001584137
phase4,85_,mu,265,0.000986182,0.000576221,0.000156454,0.000560748,0.000833545,0.00134716,0.002410566
phase4,85_,p,265,0.000254826,0.000273106,0,9.19E-05,0.000150348,0.000317781,0.001586386
